latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.999998,73.8,584.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),precipitation (mm),rain (mm),wind_speed_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),cloud_cover (%),relative_humidity_2m (%),dew_point_2m (°C)
2025-03-01T00:00,24.8,0.00,0.00,3.8,28.4,30.3,0.158,0.275,61,39,9.8
2025-03-01T01:00,23.9,0.00,0.00,2.5,27.4,30.1,0.158,0.275,0,42,10.3
2025-03-01T02:00,23.2,0.00,0.00,2.5,26.5,30.0,0.158,0.275,5,43,10.1
2025-03-01T03:00,22.9,0.00,0.00,5.2,25.7,29.8,0.158,0.275,3,43,9.8
2025-03-01T04:00,22.3,0.00,0.00,2.6,25.1,29.6,0.158,0.275,0,45,10.0
2025-03-01T05:00,22.0,0.00,0.00,2.5,24.5,29.4,0.158,0.275,0,47,10.1
2025-03-01T06:00,22.0,0.00,0.00,0.4,23.1,29.1,0.158,0.275,0,49,10.7
2025-03-01T07:00,22.3,0.00,0.00,0.4,22.9,28.8,0.158,0.275,0,48,10.8
2025-03-01T08:00,25.0,0.00,0.00,1.3,24.0,28.6,0.158,0.275,0,40,10.4
2025-03-01T09:00,28.3,0.00,0.00,6.0,26.3,28.5,0.158,0.275,0,33,10.4
2025-03-01T10:00,30.8,0.00,0.00,7.4,29.1,28.4,0.158,0.275,0,29,10.9
2025-03-01T11:00,32.8,0.00,0.00,5.1,32.1,28.5,0.158,0.275,0,25,10.0
2025-03-01T12:00,34.2,0.00,0.00,7.3,34.9,28.7,0.158,0.275,0,21,8.6
2025-03-01T13:00,35.1,0.00,0.00,9.9,37.2,28.9,0.158,0.275,2,19,8.2
2025-03-01T14:00,35.8,0.00,0.00,11.3,38.6,29.2,0.158,0.275,35,19,8.4
2025-03-01T15:00,35.4,0.00,0.00,9.6,39.2,29.6,0.158,0.275,26,19,8.5
2025-03-01T16:00,34.8,0.00,0.00,12.2,39.0,29.9,0.158,0.275,34,20,8.3
2025-03-01T17:00,32.9,0.00,0.00,17.2,37.8,30.2,0.158,0.275,21,21,7.9
2025-03-01T18:00,30.8,0.00,0.00,17.3,36.0,30.5,0.158,0.275,44,26,9.0
2025-03-01T19:00,29.1,0.00,0.00,19.2,34.2,30.6,0.158,0.274,75,31,10.3
2025-03-01T20:00,27.4,0.00,0.00,18.4,32.6,30.7,0.158,0.274,59,38,12.0
2025-03-01T21:00,26.2,0.00,0.00,12.4,31.1,30.7,0.158,0.274,11,41,12.0
2025-03-01T22:00,25.4,0.00,0.00,12.1,29.9,30.6,0.158,0.274,0,42,11.4
2025-03-01T23:00,24.8,0.00,0.00,13.1,28.8,30.5,0.158,0.274,8,42,11.0
2025-03-02T00:00,24.2,0.00,0.00,10.0,27.9,30.4,0.158,0.274,34,42,10.3
2025-03-02T01:00,23.4,0.00,0.00,4.3,27.0,30.2,0.158,0.274,9,42,9.9
2025-03-02T02:00,22.7,0.00,0.00,0.6,26.0,30.0,0.158,0.274,66,47,10.7
2025-03-02T03:00,21.9,0.00,0.00,1.5,25.2,29.8,0.158,0.274,78,48,10.3
2025-03-02T04:00,21.4,0.00,0.00,2.1,24.4,29.6,0.158,0.274,41,49,10.2
2025-03-02T05:00,21.0,0.00,0.00,2.1,23.7,29.4,0.158,0.274,13,50,10.0
2025-03-02T06:00,21.4,0.00,0.00,7.0,23.8,29.1,0.158,0.274,100,50,10.7
2025-03-02T07:00,21.8,0.00,0.00,7.8,23.5,28.9,0.158,0.274,100,46,9.7
2025-03-02T08:00,24.8,0.00,0.00,5.4,24.4,28.7,0.158,0.274,99,37,9.2
2025-03-02T09:00,27.9,0.00,0.00,7.1,26.4,28.6,0.158,0.274,96,28,7.8
2025-03-02T10:00,30.3,0.00,0.00,7.7,29.0,28.5,0.158,0.274,100,22,6.0
2025-03-02T11:00,32.3,0.00,0.00,6.7,31.9,28.6,0.157,0.274,96,17,4.0
